,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,days_since_last_review,minimum_amount_spent,rating_score
56,60365,Home in San Francisco · ★4.88 · 3 bedrooms · 4 beds · 2 baths,279544,Emilie,Western Addition,37.77034,-122.43594,Entire home/apt,495,4,260,2023-10-02,1.65,2,187,16,STR-0003775,100,1980,2.6
57,62519,Rental unit in San Francisco · ★4.87 · 1 bedroom · 1 bed · 1 private bath,304426,Abhay,Noe Valley,37.7422,-122.42996,Private room,150,2,38,2023-04-29,0.35,2,0,1,STR-0000261,256,300,0.1484375
59,66119,Rental unit in San Francisco · ★4.19 · Studio · 2 beds · 1 bath,52862,Joe,Outer Richmond,37.77737,-122.47985,Entire home/apt,95,30,97,2022-11-07,0.64,3,365,0,City registration pending,429,2850,0.2261072261072261
63,70753,Hostel in San Francisco · ★4.63 · 1 bedroom · 8 beds · 1 shared bath,329072,James & Friends,Financial District,37.7937,-122.40417,Shared room,49,1,445,2023-10-26,2.85,3,270,12,428539.0,76,49,5.855263157894737
64,71645,Guest suite in San Francisco · ★4.94 · 1 bedroom · 1 bed · 1 bath,367464,Jeff,Bernal Heights,37.74409,-122.40846,Entire home/apt,132,3,304,2023-11-17,3.22,1,176,41,STR-0004597,54,396,5.62962962962963
65,72444,Hostel in San Francisco · ★4.73 · 1 bedroom · 8 beds · 1 shared bath,329072,James & Friends,Financial District,37.7937,-122.40417,Shared room,45,1,569,2023-10-08,3.68,3,270,24,428539.0,94,45,6.053191489361702
69,77175,Home in San Francisco · ★4.88 · 1 bedroom · 1 bed · 1 bath,395569,Tyler&Shoreh,Glen Park,37.73711,-122.43525,Entire home/apt,128,3,387,2023-11-29,2.51,1,0,28,STR-0000227,42,384,9.214285714285714
70,78651,Rental unit in San Francisco · ★4.73 · 2 bedrooms · 1 bed · 2 shared baths,142882,Jessica And Sebouh,Mission,37.75585,-122.42081,Private room,85,30,92,2019-10-25,0.6,2,364,0,STR-0000875,1538,2550,0.05981794538361508
71,80394,Rental unit in San Francisco · ★4.92 · 1 bedroom · 1 bed · 1 bath,126930,Abla,Haight Ashbury,37.77065,-122.44433,Entire home/apt,135,30,26,2022-05-29,0.22,1,0,0,STR-0003597,591,4050,0.043993231810490696
73,83257,Home in San Francisco · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,453743,Kimberly,Western Addition,37.78353,-122.44369,Private room,90,7,112,2023-08-18,0.73,1,222,7,STR-0000187,145,630,0.7724137931034483
74,91957,Rental unit in San Francisco · ★4.73 · 2 bedrooms · 2 beds · 1.5 baths,495796,Joy,Haight Ashbury,37.76114,-122.44929,Entire home/apt,225,30,93,2019-01-01,0.63,1,365,0,City registration pending,1835,6750,0.05068119891008174
78,109883,Guest suite in San Francisco · ★4.73 · 1 bedroom · 2 beds · 1 bath,566147,Adam,West of Twin Peaks,37.73241,-122.46432,Entire home/apt,130,2,474,2023-11-05,3.12,1,355,22,STR-0004737,66,260,7.181818181818182
80,114401,Condo in San Francisco · ★4.87 · 2 bedrooms · 1 bed · 1 shared bath,580606,George,Castro/Upper Market,37.75939,-122.43051,Private room,115,1,723,2023-12-03,4.74,1,352,43,STR-0000045,38,115,19.026315789473685
84,124011,Home in San Francisco · ★4.96 · 3 bedrooms · 4 beds · 2.5 baths,617985,Patrick,Inner Sunset,37.76317,-122.47029,Entire home/apt,580,7,28,2023-09-14,0.25,1,323,6,STR-0001525,118,4060,0.23728813559322035
85,128230,Rental unit in San Francisco · ★4.93 · 1 bedroom · 1 bed · 1 bath,634277,Maria,Castro/Upper Market,37.75737,-122.43566,Entire home/apt,350,3,174,2022-06-05,1.14,1,246,0,STR-0001224,584,1050,0.2979452054794521
87,132441,Home in San Francisco · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,650862,Kurt,Bernal Heights,37.73987,-122.4234,Private room,96,1,192,2023-11-03,1.27,1,179,14,STR-0000445,68,96,2.823529411764706
88,137129,Home in San Francisco · 3 bedrooms · 2.5 baths,639671,Mark,Inner Richmond,37.78733,-122.46371,Entire home/apt,572,14,2,2022-07-26,0.04,1,83,0,2022-004098STR,533,8008,0.00375234521575985
90,144242,Home in San Francisco · ★4.88 · 3 bedrooms · 3 beds · 2 baths,699215,Kate,Inner Richmond,37.78546,-122.46148,Entire home/apt,495,3,27,2023-08-01,0.18,1,0,5,2022-011317STR,162,1485,0.16666666666666666
97,166199,Guesthouse in San Francisco · ★4.82 · 1 bedroom · 2 beds · 1 bath,792371,Matt,Castro/Upper Market,37.76241,-122.43026,Entire home/apt,170,30,156,2019-07-08,1.04,1,89,0,City registration pending,1647,5100,0.0947176684881603
101,183859,Rental unit in San Francisco · ★4.88 · 2 bedrooms · 2 beds · 1 bath,882283,Stephen,Glen Park,37.73604,-122.43777,Entire home/apt,229,3,339,2023-11-26,2.42,1,307,23,STR-0000017,45,687,7.533333333333333
